iter	Passed	Remaining
402	11840	46921
403	11870	46893
404	11900	46865
405	11929	46836
406	11958	46807
407	11991	46789
408	12021	46761
409	12050	46731
410	12079	46702
411	12109	46676
412	12138	46644
413	12167	46611
414	12194	46574
415	12224	46548
416	12252	46513
417	12281	46481
418	12311	46455
419	12346	46445
420	12377	46421
421	12406	46393
422	12435	46359
423	12463	46325
424	12491	46292
425	12521	46265
426	12551	46236
427	12581	46209
428	12609	46174
429	12638	46144
430	12667	46112
431	12695	46079
432	12724	46047
433	12754	46022
434	12784	45993
435	12812	45959
436	12841	45928
437	12869	45895
438	12897	45861
439	12926	45829
440	12955	45800
441	12985	45773
442	13013	45738
443	13039	45696
444	13069	45668
445	13097	45635
446	13126	45605
447	13153	45568
448	13184	45542
449	13213	45512
450	13241	45477
451	13270	45448
452	13299	45417
453	13326	45379
454	13353	45341
455	13380	45305
456	13409	45276
457	13439	45248
458	13467	45215
459	13495	45180
460	13522	45144
461	13551	45113
462	13580	45081
463	13608	45050
464	13638	45022
465	13669	44998
466	13698	44968
467	13728	44941
468	13757	44909
469	13783	44871
470	13813	44841
471	13842	44812
472	13870	44779
473	13898	44745
474	13928	44716
475	13956	44683
476	13983	44648
477	14013	44619
478	14042	44590
479	14073	44565
480	14103	44537
481	14130	44502
482	14159	44472
483	14188	44440
484	14216	44408
485	14243	44370
486	14273	44344
487	14301	44309
488	14332	44287
489	14362	44258
490	14391	44230
491	14421	44202
492	14449	44168
493	14476	44133
494	14505	44102
495	14536	44078
496	14565	44047
497	14592	44010
498	14620	43979
499	14649	43949
500	14679	43922
501	14707	43886
502	14737	43860
503	14767	43833
504	14798	43810
505	14829	43783
506	14862	43765
507	14893	43743
508	14922	43711
509	14951	43682
510	14981	43655
511	15012	43628
512	15039	43595
513	15068	43564
514	15097	43532
515	15124	43498
516	15154	43469
517	15184	43442
518	15213	43413
519	15241	43378
520	15269	43346
521	15298	43317
522	15326	43282
523	15352	43245
524	15382	43217
525	15413	43191
526	15440	43157
527	15468	43122
528	15497	43093
529	15525	43061
530	15553	43028
531	15582	42997
532	15612	42970
533	15641	42942
534	15670	42909
535	15698	42877
536	15726	42846
537	15755	42815
538	15784	42785
539	15813	42755
540	15842	42725
541	15872	42698
542	15901	42666
543	15928	42632
544	15957	42602
545	15985	42570
546	16015	42542
547	16045	42513
548	16076	42490
549	16107	42464
550	16134	42430
551	16163	42400
552	16193	42372
553	16221	42340
554	16249	42307
555	16280	42282
556	16310	42255
557	16339	42223
558	16366	42190
559	16395	42159
560	16424	42131
561	16454	42103
562	16485	42078
563	16516	42052
564	16543	42018
565	16573	41991
566	16604	41965
567	16633	41935
568	16662	41904
569	16693	41879
570	16725	41857
571	16753	41824
572	16782	41795
573	16809	41761
574	16839	41732
575	16868	41703
576	16897	41672
577	16925	41640
578	16956	41615
579	16985	41585
580	17015	41558
581	17043	41525
582	17072	41496
583	17102	41466
584	17129	41432
585	17158	41401
586	17188	41374
587	17217	41345
588	17246	41315
589	17276	41287
590	17305	41258
591	17335	41229
592	17365	41202
593	17395	41176
594	17427	41152
595	17457	41125
596	17489	41100
597	17522	41080
598	17553	41056
599	17586	41035
600	17620	41016
601	17652	40994
602	17686	40976
603	17720	40956
604	17752	40933
605	17784	40910
606	17816	40886
607	17848	40863
608	17882	40844
609	17914	40822
610	17947	40800
611	17980	40779
612	18012	40756
613	18047	40738
614	18080	40718
615	18113	40697
616	18147	40676
617	18179	40653
618	18211	40630
619	18280	40689
620	18328	40700
621	18364	40685
622	18397	40663
623	18431	40644
624	18465	40624
625	18500	40605
626	18531	40581
627	18567	40563
628	18601	40544
629	18633	40520
630	18664	40494
631	18697	40471
632	18730	40449
633	18766	40432
634	18800	40412
635	18832	40388
636	18865	40366
637	18899	40346
638	18932	40325
639	18964	40299
640	18998	40279
641	19034	40262
642	19068	40243
643	19102	40221
644	19134	40198
645	19167	40174
646	19200	40151
647	19235	40133
648	19269	40112
649	19302	40089
650	19334	40064
651	19366	40039
652	19398	40015
653	19431	39992
654	19467	39974
655	19501	39954
656	19534	39931
657	19567	39907
658	19599	39883
659	19632	39859
660	19664	39833
661	19696	39809
662	19731	39790
663	19763	39765
664	19795	39739
665	19826	39713
666	19859	39690
667	19892	39665
668	19926	39643
669	19961	39624
670	19997	39606
671	20031	39585
672	20064	39563
673	20098	39540
674	20131	39517
675	20166	39497
676	20198	39473
677	20232	39450
678	20264	39425
679	20296	39398
680	20329	39375
681	20362	39351
682	20395	39327
683	20430	39306
684	20464	39285
685	20497	39261
686	20531	39240
687	20563	39213
688	20595	39188
689	20628	39163
690	20661	39139
691	20692	39112
692	20726	39089
693	20759	39065
