iter	Logloss
0	0.692820673
1	0.692528456
2	0.6921759231
3	0.6919669902
4	0.6916421839
5	0.6912879125
6	0.6909956052
7	0.6906335536
8	0.6902939788
9	0.6899418201
10	0.6897244005
11	0.6893869234
12	0.6890792492
13	0.6887737941
14	0.6884874595
15	0.688197834
16	0.6878828722
17	0.6875549407
18	0.6872753028
19	0.6869352096
20	0.686607521
21	0.6862782552
22	0.6859622369
23	0.6856855954
24	0.685393728
25	0.6852040201
26	0.6849335733
27	0.684615948
28	0.6842789552
29	0.6841146861
30	0.6838199303
31	0.6835247046
32	0.6833024982
33	0.6831041694
34	0.6827651178
35	0.6825306816
36	0.6821678365
37	0.6819245172
38	0.6817132336
39	0.6813401556
40	0.6810746821
41	0.6807288515
42	0.6803464102
43	0.6799980496
44	0.6797757576
45	0.6795639535
46	0.679213555
47	0.6789806411
48	0.6786532961
49	0.6783840955
50	0.6780896803
51	0.6777704161
52	0.6774943773
53	0.6771943376
54	0.676936252
55	0.6766583626
56	0.6763182175
57	0.6760254363
58	0.6757705983
59	0.6755032125
60	0.6752548797
61	0.6750909233
62	0.6747770404
63	0.6744341545
64	0.6741306631
65	0.6738704376
66	0.6736773389
67	0.673353223
68	0.6730474741
69	0.6727394277
70	0.6724435181
71	0.6721763317
72	0.6718827652
73	0.6716455123
74	0.6713706493
75	0.6711383466
76	0.6708720744
77	0.6706149158
78	0.6703904679
79	0.6701399583
80	0.6698203429
81	0.6695833261
82	0.6692893354
83	0.6690344525
84	0.6688211941
85	0.6685444958
86	0.6683191956
87	0.6680676889
88	0.6677871958
89	0.6674962591
90	0.6672554708
91	0.6669573352
92	0.6667247994
93	0.6664244197
94	0.6661638675
95	0.6658751911
96	0.6656032689
97	0.6653941414
98	0.6651566095
99	0.6648930244
100	0.6647056881
101	0.6645014573
102	0.6641440514
103	0.6638178712
104	0.6635725362
105	0.6633558033
106	0.6629618412
107	0.6626776007
108	0.6623545328
109	0.662015218
110	0.6617943991
111	0.6615582607
112	0.6612281106
113	0.66093083
114	0.6606348701
115	0.6603277239
116	0.6600333659
117	0.6597332004
118	0.6594570344
119	0.659141204
120	0.6589602622
121	0.6587156913
122	0.6583815344
123	0.6581411065
124	0.6579167844
125	0.6575959788
126	0.6572717
127	0.6570331812
128	0.6567865069
129	0.6565339768
130	0.6562509932
131	0.6560209855
132	0.655774386
133	0.6555642964
134	0.6552978785
135	0.6550502775
136	0.6548719793
137	0.654569288
138	0.6542910218
139	0.6539691793
140	0.6536325166
141	0.6534100835
142	0.6532003187
143	0.6529630232
144	0.6526657389
145	0.6524734531
146	0.6521896672
147	0.6518996796
148	0.6516558128
149	0.6514046557
150	0.6510994612
151	0.650805788
152	0.6505209076
153	0.650300699
154	0.650030579
155	0.6497182337
156	0.6493781086
157	0.6490980124
158	0.6488358349
159	0.6486080119
160	0.6484080599
161	0.6481723534
162	0.6480061638
163	0.6477662426
164	0.6475253996
165	0.6473095549
166	0.647087364
167	0.6467664539
168	0.6465745607
169	0.6462835522
170	0.6460089795
171	0.6457453962
172	0.6455193079
173	0.6452622695
174	0.6449974195
175	0.6447586578
176	0.6445420506
177	0.6442904643
178	0.643980478
179	0.6437099645
180	0.6434492545
181	0.643183945
182	0.642880251
183	0.6427091297
184	0.6424439784
185	0.642219315
186	0.6419965917
187	0.6417053471
188	0.6414311595
189	0.6411680832
190	0.6408897523
191	0.640624773
192	0.6403443929
193	0.6400639742
